mc1	mc2
235	236
235	239
236	103
236	235
236	236
236	239
236	242
236	273
237	237
237	238
238	237
238	238
238	239
239	94
239	230
239	234
239	235
239	236
239	238
239	239
239	248
240	93
240	240
240	241
240	242
240	243
240	245
240	246
241	240
241	241
241	242
241	243
241	245
241	247
242	236
242	240
242	241
242	242
242	244
242	245
242	247
242	273
243	93
243	240
243	241
243	243
243	244
243	246
244	93
244	242
244	243
244	244
244	245
244	246
244	247
245	93
245	240
245	241
245	242
245	244
245	245
245	246
245	247
246	93
246	240
246	243
246	244
246	245
246	246
246	247
247	93
247	241
247	242
247	244
247	245
247	246
247	247
248	94
248	239
248	248
249	195
249	198
249	249
249	250
249	251
249	253
249	255
250	202
250	249
250	250
250	251
250	252
250	253
250	254
250	255
251	195
251	249
251	250
251	251
251	253
251	254
251	255
252	1
252	49
252	50
252	250
252	252
252	254
252	255
253	249
253	250
253	251
253	253
253	254
253	255
254	49
254	250
254	251
254	252
254	253
254	254
254	255
255	249
255	250
255	251
255	252
255	253
255	254
255	255
256	201
256	203
256	204
256	256
256	257
256	258
256	259
257	203
257	204
257	256
257	257
257	259
257	261
257	262
258	203
258	204
258	256
258	258
258	259
258	261
258	262
259	203
259	204
259	256
259	257
259	258
259	259
259	261
260	205
260	260
260	277
260	278
260	282
260	287
261	98
261	257
261	258
261	259
261	261
261	262
262	101
262	102
262	257
262	258
262	261
262	262
263	179
263	193
263	194
263	263
263	266
263	267
263	268
264	72
264	74
264	264
264	265
264	266
264	267
264	268
265	71
265	74
265	264
265	265
265	266
265	267
265	268
266	194
266	263
266	264
266	265
266	266
266	267
266	268
267	74
267	193
267	263
267	264
267	265
267	266
267	267
267	268
268	74
268	194
268	263
268	264
268	265
268	266
268	267
268	268
269	62
269	73
269	269
269	270
269	271
269	273
270	62
270	73
270	192
270	269
270	270
270	271
271	191
271	192
271	269
271	270
271	271
271	272
271	279
271	285
272	73
272	191
272	192
272	194
272	271
272	272
272	279
273	80
273	183
273	191
273	236
273	242
273	269
273	273
274	108
274	274
274	275
274	276
274	277
274	281
275	110
275	274
275	275
275	279
275	280
275	281
275	284
276	105
276	107
276	112
276	274
276	276
276	277
276	282
276	283
277	260
277	274
277	276
277	277
277	278
277	280
277	281
278	260
278	277
278	278
278	281
278	283
278	284
278	286
279	110
279	191
279	192
279	271
279	272
279	275
279	279
280	107
280	110
280	111
280	275
280	277
280	280
281	107
281	113
281	274
281	275
281	277
281	278
281	281
282	260
282	276
282	282
282	283
282	284
282	288
282	289
283	276
283	278
283	282
283	283
283	284
283	286
283	287
284	105
284	275
284	278
284	282
284	283
284	284
284	287
284	288
285	62
285	73
285	271
285	285
285	286
285	288
286	278
286	283
286	285
286	286
286	287
286	288
286	289
287	260
287	283
287	284
287	286
287	287
287	288
287	289
288	63
288	282
288	284
288	285
288	286
288	287
288	288
288	289
289	63
289	70
289	77
289	282
289	286
289	287
289	288
289	289
